originSize: 158823    uniqsize: 29003
SIP DIP  SP   DP    PROT     NUM: 
957896048 24961692  52659   443    6     6
3562362999 66825712  27537   443    6     1
1814128379 23111674  43000   443    6     25
1980431447 24917452  4566   443    6     2
2181495805 602983408  51684   443    6     1
2275193849 2828227690  29365   443    6     2
1139242676 3692795761  4246   25276    17     15
1905343081 100424407  17608   80    6     29
1139243336 3692795763  55278   24646    17     15
3481813555 23111433  48283   443    6     101
732452663 1875764448  10217   53300    6     179
1864759876 65881880  26895   443    6     1
730555775 16962131  15208   9339    6     1
1580484112 1760530380  45706   1766    17     3
731208267 2579574489  51799   80    6     7
730555788 26425636  50214   9339    6     8
730555663 26651413  36943   9339    6     2
1956923261 21115102  4677   5242    6     1
730555747 16920503  10485   9339    6     2
2579573884 2579574299  60499   443    6     289
730555745 19261681  61091   9339    6     1
1823040187 23486589  58638   443    6     7
2341638433 602983381  12925   80    6     8
315344479 1758553541  6379   64469    6     1
256872453 1102514027  30853   80    6     4
730555760 2310469933  24819   9339    6     2
2281141797 1093330062  36355   80    6     2
3483964311 23479641  59298   443    6     8
1956922332 737135090  17045   443    6     1
730555808 99665261  46168   9339    6     2
2637393221 22777999  55000   5558    17     1
2134298813 2579574319  62542   443    6     4
3328938513 731294680  35833   80    6     1
604242671 59092691  24997   80    6     1
2593651869 3327463648  38086   80    6     25
2715144270 734973376  33484   443    6     4
2024164855 23111430  27974   443    6     5
2634953705 1797014752  34439   80    6     1
2132206826 1875764433  36904   62729    6     1
3597367062 3327712116  50134   7366    17     15
228717985 23905910  34376   80    6     2
3597367062 3327712113  49280   33028    17     15
1697450045 722000543  35051   80    6     1
1104876373 1714137622  56952   443    6     1
3329430394 24909034  52183   80    6     5
1720115877 59349846  49347   443    6     85
2634953705 17767033  10000   35441    6     8
3525221510 1130475128  80   59795    6     3
2169843180 23815657  63698   443    6     1
3609839601 602983415  57388   443    6     7
730555753 16920503  18394   9339    6     1
1838352451 19114671  43861   9339    6     1
3327711880 3327712048  39978   12388    17     15
3255346267 602983415  3437   443    6     1
3692778521 66745214  19862   443    6     4
2579601159 2579574759  443   58133    6     22
1415404568 3504996330  80   63605    6     34
1783899795 26651413  63286   9339    6     1
2139986531 23107508  22338   80    6     60
257157355 2579592610  48568   80    6     6
1711758478 3504996197  52529   443    6     4
2913112365 3343010395  49578   80    6     3
